Name,Roll,Email
Abhishek,1401AI01,Abhishek@mycollege.in
Abhinav,1401CB03,Abhinav@mycollege.in
Aayush,1401CE39,Aayush@mycollege.in
Abhay,1401CH07,Abhay@mycollege.in
Aadharsh,1401CS31,Aadharsh@mycollege.in
Amaan,1401CT39,Amaan@mycollege.in
Bhavya,1401EC29,Bhavya@mycollege.in
Aaryan,1401MC63,Aaryan@mycollege.in
Aadil,1401MM17,Aadil@mycollege.in
Abhilasha,1401MT02,Abhilasha@mycollege.in
Aditi,1401AI05,Aditi@mycollege.in
Adarsh,1401CB06,Adarsh@mycollege.in
Abdul,1401CE46,Abdul@mycollege.in
Abhijeet,1401CH33,Abhijeet@mycollege.in
Aakash,1401CS64,Aakash@mycollege.in
Amrit,1401CT45,Amrit@mycollege.in
Deeksha,1401EC28,Deeksha@mycollege.in
Abhimanyu,1401MC74,Abhimanyu@mycollege.in
Aaditya,1401MM20,Aaditya@mycollege.in
Aruba,1401MT48,Aruba@mycollege.in
Aditya,1401AI38,Aditya@mycollege.in
Ajay,1401CB10,Ajay@mycollege.in
Akhilesh,1401CE40,Akhilesh@mycollege.in
Abhijit,1401CH41,Abhijit@mycollege.in
Aakriti,1401CS37,Aakriti@mycollege.in
Anita,1401CT51,Anita@mycollege.in
Deepali,1401EC31,Deepali@mycollege.in
Amar,1401MC67,Amar@mycollege.in
Aanchal,1401MM06,Aanchal@mycollege.in
Devyanti,1401MT55,Devyanti@mycollege.in
Akash,1401AI29,Akash@mycollege.in
Akanksha,1401CB11,Akanksha@mycollege.in
Alok,1401CE02,Alok@mycollege.in
Ahmad,1401CH39,Ahmad@mycollege.in
Aastha,1401CS36,Aastha@mycollege.in
Anubhav,1401CT50,Anubhav@mycollege.in
Dev,1401EC30,Dev@mycollege.in
Anuj,1401MC68,Anuj@mycollege.in
Abbas,1401MM22,Abbas@mycollege.in
Ehtisham,1401MT49,Ehtisham@mycollege.in
Aman,1401AI02,Aman@mycollege.in
Akshat,1401CB24,Akshat@mycollege.in
Anshu,1401CE18,Anshu@mycollege.in
Aishwarya,1401CH75,Aishwarya@mycollege.in
Aayushi,1401CS15,Aayushi@mycollege.in
Anukriti,1401CT53,Anukriti@mycollege.in
Devansh,1401EC25,Devansh@mycollege.in
Arvind,1401MC03,Arvind@mycollege.in
Abhedhya,1401MM31,Abhedhya@mycollege.in
Elamathi,1401MT14,Elamathi@mycollege.in
Amit,1401AI15,Amit@mycollege.in
Akshita,1401CB41,Akshita@mycollege.in
Arushi,1401CE26,Arushi@mycollege.in
Ajit,1401CH35,Ajit@mycollege.in
Abhyuday,1401CS38,Abhyuday@mycollege.in
Anupriya,1401CT52,Anupriya@mycollege.in
Devanshu,1401EC24,Devanshu@mycollege.in
Ashok,1401MC11,Ashok@mycollege.in
Abhilash,1401MM02,Abhilash@mycollege.in
Eshma,1401MT47,Eshma@mycollege.in
Anjali,1401AI06,Anjali@mycollege.in
Ananya,1401CB21,Ananya@mycollege.in
Ashish,1401CE08,Ashish@mycollege.in
Amol,1401CH22,Amol@mycollege.in
Adil,1401CS10,Adil@mycollege.in
Archana,1401CT47,Archana@mycollege.in
Dhruv,1401EC27,Dhruv@mycollege.in
Asutosh,1401MC41,Asutosh@mycollege.in
Akshaya,1401MM77,Akshaya@mycollege.in
