Name,Roll,Email
Abhinav,1401CB03,Abhinav@mycollege.in
Adarsh,1401CB06,Adarsh@mycollege.in
Ajay,1401CB10,Ajay@mycollege.in
Akanksha,1401CB11,Akanksha@mycollege.in
Akshat,1401CB24,Akshat@mycollege.in
Akshita,1401CB41,Akshita@mycollege.in
Ananya,1401CB21,Ananya@mycollege.in
Aniket,1401CB18,Aniket@mycollege.in
Ankita,1401CB32,Ankita@mycollege.in
Ankur,1401CB28,Ankur@mycollege.in
Arpit,1401CB31,Arpit@mycollege.in
Arun,1401CB16,Arun@mycollege.in
Ashutosh,1401CB05,Ashutosh@mycollege.in
Deepak,1401CB34,Deepak@mycollege.in
Dheeraj,1401CB40,Dheeraj@mycollege.in
Divya,1401CB07,Divya@mycollege.in
Isha,1401CB45,Isha@mycollege.in
Ishika,1401CB25,Ishika@mycollege.in
Kavya,1401CB38,Kavya@mycollege.in
Khushi,1401CB36,Khushi@mycollege.in
Kishan,1401CB47,Kishan@mycollege.in
Kunal,1401CB39,Kunal@mycollege.in
Mansi,1401CB01,Mansi@mycollege.in
Mohit,1401CB26,Mohit@mycollege.in
Neelesh,1401CB50,Neelesh@mycollege.in
Neeraj,1401CB12,Neeraj@mycollege.in
Nikita,1401CB19,Nikita@mycollege.in
Nisha,1401CB15,Nisha@mycollege.in
Palak,1401CB27,Palak@mycollege.in
Pallavi,1401CB17,Pallavi@mycollege.in
Pawan,1401CB48,Pawan@mycollege.in
Piyush,1401CB08,Piyush@mycollege.in
Pragya,1401CB09,Pragya@mycollege.in
Pranjal,1401CB44,Pranjal@mycollege.in
Priyanka,1401CB35,Priyanka@mycollege.in
Priyanshi,1401CB22,Priyanshi@mycollege.in
Ravi,1401CB30,Ravi@mycollege.in
Richa,1401CB29,Richa@mycollege.in
Ritika,1401CB13,Ritika@mycollege.in
Riya,1401CB42,Riya@mycollege.in
Shivangi,1401CB04,Shivangi@mycollege.in
Shraddha,1401CB33,Shraddha@mycollege.in
Shweta,1401CB37,Shweta@mycollege.in
Sneha,1401CB43,Sneha@mycollege.in
Soumya,1401CB49,Soumya@mycollege.in
Sumit,1401CB46,Sumit@mycollege.in
Suraj,1401CB23,Suraj@mycollege.in
Tanya,1401CB14,Tanya@mycollege.in
Tushar,1401CB02,Tushar@mycollege.in
Vijay,1401CB20,Vijay@mycollege.in
