Name,Roll,Email
Aayush,1401CE39,Aayush@mycollege.in
Abdul,1401CE46,Abdul@mycollege.in
Akhilesh,1401CE40,Akhilesh@mycollege.in
Alok,1401CE02,Alok@mycollege.in
Anshu,1401CE18,Anshu@mycollege.in
Arushi,1401CE26,Arushi@mycollege.in
Ashish,1401CE08,Ashish@mycollege.in
Atul,1401CE32,Atul@mycollege.in
Aviral,1401CE45,Aviral@mycollege.in
Garima,1401CE28,Garima@mycollege.in
Himani,1401CE42,Himani@mycollege.in
Ishan,1401CE27,Ishan@mycollege.in
Ishita,1401CE10,Ishita@mycollege.in
Juhi,1401CE56,Juhi@mycollege.in
Jyoti,1401CE15,Jyoti@mycollege.in
Kashish,1401CE12,Kashish@mycollege.in
Keshav,1401CE19,Keshav@mycollege.in
Kshitij,1401CE25,Kshitij@mycollege.in
Lakshya,1401CE07,Lakshya@mycollege.in
Manish,1401CE29,Manish@mycollege.in
Mayank,1401CE14,Mayank@mycollege.in
Mohsin,1401CE36,Mohsin@mycollege.in
Neha,1401CE50,Neha@mycollege.in
Nitin,1401CE41,Nitin@mycollege.in
Nupur,1401CE49,Nupur@mycollege.in
Parul,1401CE16,Parul@mycollege.in
Pragati,1401CE05,Pragati@mycollege.in
Prakash,1401CE21,Prakash@mycollege.in
Pratibha,1401CE22,Pratibha@mycollege.in
Praveen,1401CE23,Praveen@mycollege.in
Prerna,1401CE48,Prerna@mycollege.in
Prince,1401CE20,Prince@mycollege.in
Priyanshu,1401CE24,Priyanshu@mycollege.in
Raghav,1401CE03,Raghav@mycollege.in
Rishi,1401CE04,Rishi@mycollege.in
Rohan,1401CE53,Rohan@mycollege.in
Sandeep,1401CE09,Sandeep@mycollege.in
Saran,1401CE37,Saran@mycollege.in
Sarthak,1401CE01,Sarthak@mycollege.in
Sarvesh,1401CE33,Sarvesh@mycollege.in
Shambhavi,1401CE17,Shambhavi@mycollege.in
Shaurya,1401CE11,Shaurya@mycollege.in
Shivam,1401CE06,Shivam@mycollege.in
Shivansh,1401CE54,Shivansh@mycollege.in
Shreyansh,1401CE31,Shreyansh@mycollege.in
Shubhangi,1401CE35,Shubhangi@mycollege.in
Sumeet,1401CE47,Sumeet@mycollege.in
Sunil,1401CE55,Sunil@mycollege.in
Sushil,1401CE43,Sushil@mycollege.in
Vaishnavi,1401CE30,Vaishnavi@mycollege.in
Vanshika,1401CE52,Vanshika@mycollege.in
Vartika,1401CE44,Vartika@mycollege.in
Vidya,1401CE34,Vidya@mycollege.in
Vikas,1401CE51,Vikas@mycollege.in
Vikash,1401CE38,Vikash@mycollege.in
Vineet,1401CE13,Vineet@mycollege.in
