Name,Roll,Email
Aadharsh,1401CS31,Aadharsh@mycollege.in
Aakash,1401CS64,Aakash@mycollege.in
Aakriti,1401CS37,Aakriti@mycollege.in
Aastha,1401CS36,Aastha@mycollege.in
Aayushi,1401CS15,Aayushi@mycollege.in
Abhyuday,1401CS38,Abhyuday@mycollege.in
Adil,1401CS10,Adil@mycollege.in
Akarsh,1401CS39,Akarsh@mycollege.in
Akhil,1401CS43,Akhil@mycollege.in
Akshay,1401CS16,Akshay@mycollege.in
Alka,1401CS24,Alka@mycollege.in
Amarnath,1401CS32,Amarnath@mycollege.in
Amisha,1401CS18,Amisha@mycollege.in
Amrita,1401CS19,Amrita@mycollege.in
Anmol,1401CS14,Anmol@mycollege.in
Annanya,1401CS47,Annanya@mycollege.in
Anwar,1401CS27,Anwar@mycollege.in
Aparna,1401CS54,Aparna@mycollege.in
Apratim,1401CS28,Apratim@mycollege.in
Apurva,1401CS23,Apurva@mycollege.in
Aqsa,1401CS26,Aqsa@mycollege.in
Arpita,1401CS01,Arpita@mycollege.in
Arti,1401CS63,Arti@mycollege.in
Arunima,1401CS48,Arunima@mycollege.in
Aryan,1401CS66,Aryan@mycollege.in
Astha,1401CS05,Astha@mycollege.in
Avinash,1401CS59,Avinash@mycollege.in
Ayan,1401CS65,Ayan@mycollege.in
Ayushman,1401CS71,Ayushman@mycollege.in
Bhawana,1401CS77,Bhawana@mycollege.in
Bhoopendra,1401CS76,Bhoopendra@mycollege.in
Bhumika,1401CS12,Bhumika@mycollege.in
Bramoni,1401CS33,Bramoni@mycollege.in
Chetna,1401CS35,Chetna@mycollege.in
Dalia,1401CS30,Dalia@mycollege.in
Deepika,1401CS04,Deepika@mycollege.in
Dimpal,1401CS79,Dimpal@mycollege.in
Disha,1401CS55,Disha@mycollege.in
Divakar,1401CS78,Divakar@mycollege.in
Divyam,1401CS45,Divyam@mycollege.in
Divyanshi,1401CS02,Divyanshi@mycollege.in
Divyanshu,1401CS73,Divyanshu@mycollege.in
Durga,1401CS22,Durga@mycollege.in
Ekta,1401CS09,Ekta@mycollege.in
Geeta,1401CS72,Geeta@mycollege.in
Hasni,1401CS29,Hasni@mycollege.in
Hemanshu,1401CS75,Hemanshu@mycollege.in
Indora,1401CS25,Indora@mycollege.in
Jaswant,1401CS74,Jaswant@mycollege.in
Kirti,1401CS46,Kirti@mycollege.in
Kundalik,1401CS21,Kundalik@mycollege.in
Madhav,1401CS44,Madhav@mycollege.in
Mahek,1401CS07,Mahek@mycollege.in
Narendra,1401CS08,Narendra@mycollege.in
Navneet,1401CS40,Navneet@mycollege.in
Nethaji,1401CS34,Nethaji@mycollege.in
Niteesh,1401CS49,Niteesh@mycollege.in
Nithisha,1401CS50,Nithisha@mycollege.in
Om,1401CS41,Om@mycollege.in
Ritesh,1401CS11,Ritesh@mycollege.in
Samriddhi,1401CS13,Samriddhi@mycollege.in
Sandhya,1401CS51,Sandhya@mycollege.in
Sanjay,1401CS06,Sanjay@mycollege.in
Satyam,1401CS85,Satyam@mycollege.in
Satyarth,1401CS84,Satyarth@mycollege.in
Seema,1401CS56,Seema@mycollege.in
Sekhar,1401CS20,Sekhar@mycollege.in
Shekhar,1401CS17,Shekhar@mycollege.in
Shikha,1401CS87,Shikha@mycollege.in
