Name,Roll,Email
Ranu,1401CT28,Ranu@mycollege.in
Nivedita,1401EC06,Nivedita@mycollege.in
Mayur,1401MC59,Mayur@mycollege.in
Chirayu,1401MM44,Chirayu@mycollege.in
Mudit,1401MT04,Mudit@mycollege.in
Shruti,1401AI18,Shruti@mycollege.in
Priyanshi,1401CB22,Priyanshi@mycollege.in
Rohan,1401CE53,Rohan@mycollege.in
Mukesh,1401CH79,Mukesh@mycollege.in
Deepika,1401CS04,Deepika@mycollege.in
Saloni,1401CT31,Saloni@mycollege.in
Pankhuri,1401EC09,Pankhuri@mycollege.in
Monica,1401MC45,Monica@mycollege.in
Deep,1401MM10,Deep@mycollege.in
Mukund,1401MT46,Mukund@mycollege.in
Shubham,1401AI07,Shubham@mycollege.in
Ravi,1401CB30,Ravi@mycollege.in
Sandeep,1401CE09,Sandeep@mycollege.in
Muskaan,1401CH15,Muskaan@mycollege.in
Dimpal,1401CS79,Dimpal@mycollege.in
Sanjeev,1401CT42,Sanjeev@mycollege.in
Prabhakar,1401EC05,Prabhakar@mycollege.in
Mridul,1401MC30,Mridul@mycollege.in
Deepa,1401MM08,Deepa@mycollege.in
Nargis,1401MT42,Nargis@mycollege.in
Siddharth,1401AI24,Siddharth@mycollege.in
Richa,1401CB29,Richa@mycollege.in
Saran,1401CE37,Saran@mycollege.in
Naman,1401CH78,Naman@mycollege.in
Disha,1401CS55,Disha@mycollege.in
Sapna,1401CT30,Sapna@mycollege.in
Prakhyat,1401EC15,Prakhyat@mycollege.in
Mrityunjay,1401MC43,Mrityunjay@mycollege.in
Devadathan,1401MM28,Devadathan@mycollege.in
Neelu,1401MT45,Neelu@mycollege.in
Swati,1401AI36,Swati@mycollege.in
Ritika,1401CB13,Ritika@mycollege.in
Sarthak,1401CE01,Sarthak@mycollege.in
Nandini,1401CH81,Nandini@mycollege.in
Divakar,1401CS78,Divakar@mycollege.in
Satendra,1401CT07,Satendra@mycollege.in
Prarthana,1401EC21,Prarthana@mycollege.in
Pinky,1401MC36,Pinky@mycollege.in
Dushyant,1401MM11,Dushyant@mycollege.in
Nihal,1401MT54,Nihal@mycollege.in
Utkarsh,1401AI13,Utkarsh@mycollege.in
Riya,1401CB42,Riya@mycollege.in
Sarvesh,1401CE33,Sarvesh@mycollege.in
Naveen,1401CH03,Naveen@mycollege.in
Divyam,1401CS45,Divyam@mycollege.in
Satya,1401CT36,Satya@mycollege.in
Prateek,1401EC20,Prateek@mycollege.in
Pradip,1401MC42,Pradip@mycollege.in
Gitanshu,1401MM75,Gitanshu@mycollege.in
Nishchay,1401MT56,Nishchay@mycollege.in
Vaibhav,1401AI14,Vaibhav@mycollege.in
Shivangi,1401CB04,Shivangi@mycollege.in
Shambhavi,1401CE17,Shambhavi@mycollege.in
Nitesh,1401CH01,Nitesh@mycollege.in
Divyanshi,1401CS02,Divyanshi@mycollege.in
Saurav,1401CT41,Saurav@mycollege.in
Pratham,1401EC23,Pratham@mycollege.in
Pushkar,1401MC40,Pushkar@mycollege.in
Gnaneswar,1401MM32,Gnaneswar@mycollege.in
Nishu,1401MT51,Nishu@mycollege.in
Varun,1401AI30,Varun@mycollege.in
Shraddha,1401CB33,Shraddha@mycollege.in
Shaurya,1401CE11,Shaurya@mycollege.in
Nitish,1401CH18,Nitish@mycollege.in
