Name,Roll,Email
Abhishek,1401AI01,Abhishek@mycollege.in
Aditi,1401AI05,Aditi@mycollege.in
Aditya,1401AI38,Aditya@mycollege.in
Akash,1401AI29,Akash@mycollege.in
Aman,1401AI02,Aman@mycollege.in
Amit,1401AI15,Amit@mycollege.in
Anjali,1401AI06,Anjali@mycollege.in
Ankit,1401AI21,Ankit@mycollege.in
Anshika,1401AI42,Anshika@mycollege.in
Anurag,1401AI34,Anurag@mycollege.in
Anushka,1401AI08,Anushka@mycollege.in
Ayush,1401AI04,Ayush@mycollege.in
Ayushi,1401AI40,Ayushi@mycollege.in
Gaurav,1401AI22,Gaurav@mycollege.in
Harsh,1401AI03,Harsh@mycollege.in
Harshit,1401AI27,Harshit@mycollege.in
Harshita,1401AI33,Harshita@mycollege.in
Himanshu,1401AI19,Himanshu@mycollege.in
Kajal,1401AI20,Kajal@mycollege.in
Krishna,1401AI41,Krishna@mycollege.in
Muskan,1401AI11,Muskan@mycollege.in
Nidhi,1401AI39,Nidhi@mycollege.in
Nikhil,1401AI23,Nikhil@mycollege.in
Prakhar,1401AI45,Prakhar@mycollege.in
Prashant,1401AI25,Prashant@mycollege.in
Priya,1401AI26,Priya@mycollege.in
Rahul,1401AI12,Rahul@mycollege.in
Rishabh,1401AI17,Rishabh@mycollege.in
Rohit,1401AI09,Rohit@mycollege.in
Sakshi,1401AI43,Sakshi@mycollege.in
Saumya,1401AI16,Saumya@mycollege.in
Saurabh,1401AI10,Saurabh@mycollege.in
Shashank,1401AI28,Shashank@mycollege.in
Shivani,1401AI44,Shivani@mycollege.in
Shreya,1401AI32,Shreya@mycollege.in
Shruti,1401AI18,Shruti@mycollege.in
Shubham,1401AI07,Shubham@mycollege.in
Siddharth,1401AI24,Siddharth@mycollege.in
Swati,1401AI36,Swati@mycollege.in
Utkarsh,1401AI13,Utkarsh@mycollege.in
Vaibhav,1401AI14,Vaibhav@mycollege.in
Varun,1401AI30,Varun@mycollege.in
Vishal,1401AI37,Vishal@mycollege.in
Vivek,1401AI35,Vivek@mycollege.in
Yash,1401AI31,Yash@mycollege.in
