Name,Roll,Email
Bhavya,1401EC29,Bhavya@mycollege.in
Deeksha,1401EC28,Deeksha@mycollege.in
Deepali,1401EC31,Deepali@mycollege.in
Dev,1401EC30,Dev@mycollege.in
Devansh,1401EC25,Devansh@mycollege.in
Devanshu,1401EC24,Devanshu@mycollege.in
Dhruv,1401EC27,Dhruv@mycollege.in
Dilip,1401EC46,Dilip@mycollege.in
Dipa,1401EC49,Dipa@mycollege.in
Dolly,1401EC26,Dolly@mycollege.in
Durgesh,1401EC48,Durgesh@mycollege.in
Faizan,1401EC32,Faizan@mycollege.in
Hartesh,1401EC43,Hartesh@mycollege.in
Indu,1401EC52,Indu@mycollege.in
Jagadeesh,1401EC51,Jagadeesh@mycollege.in
Jahanvi,1401EC38,Jahanvi@mycollege.in
Jahnavi,1401EC37,Jahnavi@mycollege.in
Kamini,1401EC40,Kamini@mycollege.in
Kamran,1401EC39,Kamran@mycollege.in
Karishma,1401EC34,Karishma@mycollege.in
Khushboo,1401EC33,Khushboo@mycollege.in
Maaz,1401EC36,Maaz@mycollege.in
Madhuri,1401EC35,Madhuri@mycollege.in
Mahima,1401EC12,Mahima@mycollege.in
Mallika,1401EC11,Mallika@mycollege.in
Manshi,1401EC14,Manshi@mycollege.in
Mehak,1401EC13,Mehak@mycollege.in
Monu,1401EC08,Monu@mycollege.in
Mrithyunjay,1401EC44,Mrithyunjay@mycollege.in
Neetika,1401EC07,Neetika@mycollege.in
Nilesh,1401EC10,Nilesh@mycollege.in
Nimesh,1401EC04,Nimesh@mycollege.in
Nimish,1401EC03,Nimish@mycollege.in
Nishtha,1401EC45,Nishtha@mycollege.in
Nivedita,1401EC06,Nivedita@mycollege.in
Pankhuri,1401EC09,Pankhuri@mycollege.in
Prabhakar,1401EC05,Prabhakar@mycollege.in
Prakhyat,1401EC15,Prakhyat@mycollege.in
Prarthana,1401EC21,Prarthana@mycollege.in
Prateek,1401EC20,Prateek@mycollege.in
Pratham,1401EC23,Pratham@mycollege.in
Ramanakanth,1401EC47,Ramanakanth@mycollege.in
Rana,1401EC41,Rana@mycollege.in
Rekha,1401EC22,Rekha@mycollege.in
Rishika,1401EC17,Rishika@mycollege.in
Rohith,1401EC50,Rohith@mycollege.in
Saket,1401EC16,Saket@mycollege.in
Sangeeta,1401EC02,Sangeeta@mycollege.in
Sania,1401EC01,Sania@mycollege.in
Sanskar,1401EC19,Sanskar@mycollege.in
Satvik,1401EC18,Satvik@mycollege.in
Shreyas,1401EC54,Shreyas@mycollege.in
Shyam,1401EC53,Shyam@mycollege.in
Sidhi,1401EC42,Sidhi@mycollege.in
