Name,Roll,Email
Aaryan,1401MC63,Aaryan@mycollege.in
Abhimanyu,1401MC74,Abhimanyu@mycollege.in
Amar,1401MC67,Amar@mycollege.in
Anuj,1401MC68,Anuj@mycollege.in
Arvind,1401MC03,Arvind@mycollege.in
Ashok,1401MC11,Ashok@mycollege.in
Asutosh,1401MC41,Asutosh@mycollege.in
Chahat,1401MC22,Chahat@mycollege.in
Chaitanya,1401MC06,Chaitanya@mycollege.in
Chinmay,1401MC21,Chinmay@mycollege.in
Deepshikha,1401MC66,Deepshikha@mycollege.in
Desh,1401MC24,Desh@mycollege.in
Dhananjay,1401MC18,Dhananjay@mycollege.in
Dhruva,1401MC17,Dhruva@mycollege.in
Faraz,1401MC75,Faraz@mycollege.in
Farhan,1401MC72,Farhan@mycollege.in
Indra,1401MC01,Indra@mycollege.in
Kalpana,1401MC52,Kalpana@mycollege.in
Kapil,1401MC54,Kapil@mycollege.in
Karthikeya,1401MC13,Karthikeya@mycollege.in
Kartik,1401MC04,Kartik@mycollege.in
Kartikeya,1401MC05,Kartikeya@mycollege.in
Kavish,1401MC44,Kavish@mycollege.in
Krishan,1401MC28,Krishan@mycollege.in
Lakshmi,1401MC47,Lakshmi@mycollege.in
Lalit,1401MC14,Lalit@mycollege.in
Laxmi,1401MC27,Laxmi@mycollege.in
Lekhraj,1401MC49,Lekhraj@mycollege.in
Love,1401MC48,Love@mycollege.in
Mahato,1401MC62,Mahato@mycollege.in
Mahesh,1401MC61,Mahesh@mycollege.in
Manas,1401MC64,Manas@mycollege.in
Mangal,1401MC57,Mangal@mycollege.in
Mani,1401MC07,Mani@mycollege.in
Mayur,1401MC59,Mayur@mycollege.in
Monica,1401MC45,Monica@mycollege.in
Mridul,1401MC30,Mridul@mycollege.in
Mrityunjay,1401MC43,Mrityunjay@mycollege.in
Pinky,1401MC36,Pinky@mycollege.in
Pradip,1401MC42,Pradip@mycollege.in
Pushkar,1401MC40,Pushkar@mycollege.in
Raashi,1401MC25,Raashi@mycollege.in
Raj,1401MC20,Raj@mycollege.in
Rajiv,1401MC38,Rajiv@mycollege.in
Rajkumar,1401MC39,Rajkumar@mycollege.in
Raju,1401MC37,Raju@mycollege.in
Rakesh,1401MC35,Rakesh@mycollege.in
Ram,1401MC26,Ram@mycollege.in
Rama,1401MC19,Rama@mycollege.in
Raunak,1401MC56,Raunak@mycollege.in
Ravisankar,1401MC60,Ravisankar@mycollege.in
Renu,1401MC71,Renu@mycollege.in
Sabareesh,1401MC46,Sabareesh@mycollege.in
Sahil,1401MC50,Sahil@mycollege.in
Santosh,1401MC53,Santosh@mycollege.in
Sasi,1401MC02,Sasi@mycollege.in
Seshikanth,1401MC51,Seshikanth@mycollege.in
Siddhesh,1401MC69,Siddhesh@mycollege.in
Sourav,1401MC23,Sourav@mycollege.in
Sreekanth,1401MC32,Sreekanth@mycollege.in
Subash,1401MC55,Subash@mycollege.in
Subodh,1401MC09,Subodh@mycollege.in
Sudhakar,1401MC16,Sudhakar@mycollege.in
Sukirti,1401MC08,Sukirti@mycollege.in
Surbhi,1401MC65,Surbhi@mycollege.in
Surendra,1401MC10,Surendra@mycollege.in
Suresh,1401MC12,Suresh@mycollege.in
Sweta,1401MC33,Sweta@mycollege.in
Tejas,1401MC58,Tejas@mycollege.in
